loss,epoch,step,val_loss
0.6280762553215027,0,49,
0.4349551796913147,0,99,
0.34322524070739746,0,149,
0.7153064608573914,0,199,
0.3218604326248169,0,249,
0.148396834731102,0,299,
1.868974208831787,0,349,
0.5392521619796753,0,399,
0.009017237462103367,0,449,
0.03245773911476135,0,499,
0.03500014916062355,0,549,
0.03692818433046341,0,599,
0.0035174950025975704,0,649,
6.606505485251546e-05,0,699,
0.17236684262752533,0,749,
0.11706212162971497,0,799,
0.058138687163591385,0,849,
0.021424248814582825,0,899,
0.0018207054818049073,0,949,
0.10395030677318573,0,999,
0.006197122856974602,0,1049,
0.0011105227749794722,0,1099,
0.045773398131132126,0,1149,
0.0638408213853836,0,1199,
0.009304868057370186,0,1249,
0.007130912039428949,0,1299,
0.14333371818065643,0,1349,
0.000430803484050557,0,1399,
0.0006219579372555017,0,1449,
0.0004737609124276787,0,1499,
,0,1499,0.00010314938117517158
0.002548501593992114,1,1549,
0.023125454783439636,1,1599,
0.0006042284076102078,1,1649,
0.0007631367770954967,1,1699,
0.013107958249747753,1,1749,
0.25469014048576355,1,1799,
0.00031625322299078107,1,1849,
0.1388961672782898,1,1899,
0.002113908529281616,1,1949,
0.0018550545210018754,1,1999,
0.01177189964801073,1,2049,
0.0073094419203698635,1,2099,
0.00025275960797443986,1,2149,
0.0004290057113394141,1,2199,
0.014539415016770363,1,2249,
0.0010043118381872773,1,2299,
0.018456976860761642,1,2349,
0.005733087193220854,1,2399,
0.028059395030140877,1,2449,
0.00047013754374347627,1,2499,
9.79708565864712e-05,1,2549,
0.003038166556507349,1,2599,
0.0002854093036148697,1,2649,
0.00029725569766014814,1,2699,
0.000818178872577846,1,2749,
0.0009515453712083399,1,2799,
2.4363166630791966e-06,1,2849,
0.00040658877696841955,1,2899,
5.0463124352972955e-05,1,2949,
0.000507498683873564,1,2999,
,1,2999,0.00531410239636898
0.002838770393282175,2,3049,
0.7043606042861938,2,3099,
0.0006356642697937787,2,3149,
0.002078492194414139,2,3199,
0.002238757675513625,2,3249,
0.0021207828540354967,2,3299,
0.0001284181053051725,2,3349,
7.525067076130654e-07,2,3399,
2.4586881863797316e-07,2,3449,
0.0006982656195759773,2,3499,
0.0003105341165792197,2,3549,
0.5817043781280518,2,3599,
0.00041752183460630476,2,3649,
0.0011463818373158574,2,3699,
0.00033556873677298427,2,3749,
0.0193388219922781,2,3799,
0.0022798595018684864,2,3849,
0.03869643434882164,2,3899,
0.028863059356808662,2,3949,
1.2664772839343641e-05,2,3999,
0.006793821230530739,2,4049,
0.0007871590787544847,2,4099,
0.0006112285191193223,2,4149,
0.06486242264509201,2,4199,
6.146240048110485e-05,2,4249,
0.00010546766861807555,2,4299,
0.0005859254742972553,2,4349,
0.00013188872253522277,2,4399,
0.00019324182358104736,2,4449,
0.00015702580276411027,2,4499,
,2,4499,0.005106157157570124
0.011852920986711979,3,4549,
0.003910242114216089,3,4599,
0.00016005976067390293,3,4649,
0.004377527628093958,3,4699,
0.005345775745809078,3,4749,
0.0005390284350141883,3,4799,
1.675494604569394e-05,3,4849,
0.010622774250805378,3,4899,
0.038443371653556824,3,4949,
4.783244548889343e-06,3,4999,
6.668202786386246e-06,3,5049,
1.9371492498976295e-07,3,5099,
